friddjavuođareive	1. frihetsbrev;  
oamasteapmi	1. disponering;  2. tilegnelse;  
giellaoamasteapmi	1. språktilegnelse;  
veagaloamasteapmi	1. annektering;  
jienasteapmi	1. avstemning;  
doarjjajienasteapmi	1. tillitsvotum;  
vuostejienasteapmi	1. kontravotering;  
geahččalanjienasteapmi	1. prøvevotering;  
miellahttojienasteapmi	1. uravstemning;  
gilvojienasteapmi	1. kampvotering;  
veavttasteapmi	1. overdrivelse;  
govasteapmi	1. symbolikk;  
suovasteapmi	1. røykproduksjon;  
gieđasteapmi	1. hands;  
ođasteapmi	1. ombygging, renovasjon;  
juoŋasteapmi	1. garnfiske under isen;  
vuoiŋŋasteapmi	1. rekreasjon, hvile;  
njuolggačievččasteapmi	1. frispark;  
čiehkačievččasteapmi	1. hjørnespark;  
ruovttoluottačievččasteapmi	1. tilbakespill;  
viđamehterčievččasteapmi	1. utspark, femmetersspark;  
sisabálkesteapmi	1. innkast;  
sáitebálkesteapmi	1. spydkast;  
dárkkisteapmi	1. ettersyn, revisjon;  
biiladárkkisteapmi	1. bilbesiktigelse;  
doaibmadárkkisteapmi	1. driftskontroll;  
bileahttadárkkisteapmi	1. billettkontroll;  
girjedárkkisteapmi	1. bokettersyn;  
huksendárkkisteapmi	1. byggekontroll;  
sihkkarastindárkkisteapmi	1. sikkerhetskontroll;  
biebmodárkkisteapmi	1. næringsmiddelkontroll;  
johtolatdárkkisteapmi	1. trafikkontroll;  
loaŋkkisteapmi	1. slakk;  
billisteapmi	1. inngrep;  
bággolonisteapmi	1. ekspropriasjon;  
oahpisteapmi	1. informasjon;  
buhtisteapmi	1. rensing;  
dávisteapmi	1. reaksjon;  
liikosteapmi	1. forelskelse;  
orosteapmi	1. parkering;  
gáhtanalorosteapmi	1. kantstensparkering;  
divatorosteapmi	1. avgiftsparkering;  
sajusteapmi	1. innsetting;  
máinnusteapmi	1. annonsering;  
ieš-orusteapmi	1. selvbetjent parkering;  
sisaboahtinorusteapmi	1. innfartsparkering;  
olgoorusteapmi	1. uteparkering;  
vuollásteapmi	1. underleggelse;  
eanavuollásteapmi	1. landnåm;  
sáivaguolásteapmi	1. innlandsfiske;  
gávpeguolásteapmi	1. kommersielt fiske;  
suohkanuohtásteapmi	1. synkenotfiske;  
sátneviđásteapmi	1. sitat;  
goluidmerošteapmi	1. kostnadsberegning;  
árvvošteapmi	1. skjønn;  
riekteárvvošteapmi	1. skjønnsbestyrer;  
geaidnoárvvošteapmi	1. vegskjønn;  
buhtadusárvvošteapmi	1. erstatningsskjønn;  
diđošteapmi	1. utforskning;  
olggušteapmi	1. tilsidesettelse;  
sajušteapmi	1. investering;  
foandasajušteapmi	1. avsetning til fond, fondsavsetning;  
njálmmušteapmi	1. munnbruk, kjeft;  
hálddašeapmi	1. forvaltning;  
spábbahálddašeapmi	1. ballkontroll;  
láhkahálddašeapmi	1. lovforvaltning;  
sáivabivdohálddašeapmi	1. innlandsfiske-forvaltning;  
birashálddašeapmi	1. miljøforvaltning;  
iešhálddašeapmi	1. egenforvaltning;  
deaddosirddašeapmi	1. tyngdeoverføring;  
mearkkašeapmi	1. kommentar, bemerkning;  
rátkkašeapmi	1. reinskilling;  
čálašeapmi	1. korrespondanse;  
anašeapmi	1. samleie;  
olgoriikkagávppašeapmi	1. utenrikshandel;  
báikkisgávppašeapmi	1. plasshandel;  
rohcošeapmi	1. utuktig oppførsel;  
válgaverrošeapmi	1. valgfusk;  
veahkkegaskaoapmi	1. hjelpemiddel;  
riektegaskaoapmi	1. rettsmiddel;  
dieđihangaskaoapmi	1. media;  
háldooapmi	1. eiendel;  
bipmi	1. surmelk;  
girdnobipmi	1. kjernemelk;  
kefirbipmi	1. kefir;  
leahttočopmi	1. fartsdemper;  
vealggáidupmi	1. gjeldskrise;  
meannudandagaldupmi	1. behandlingsrutine;  
geahččandagaldupmi	1. voktingsrutine;  
doabaáddejupmi	1. begrepsapparat;  
riekteáddejupmi	1. rettsforestilling;  
iešáddejupmi	1. selvforståelse;  
birgejupmi	1. livsfornødenhet;  
iešbirgejupmi	1. integritet;  
stivrejupmi	1. styreform;  
iešstivrejupmi	1. autonomi;  
áktejupmi	1. respekt;  
doaimmashehttejupmi	1. utviklingshemming;  
ráđđejupmi	1. rådighet;  
vuoigatvuođaráđđejupmi	1. rettighetsbeføyelse;  
eaiggáduššanráđđejupmi	1. eierbeføyelse;  
ráđđenráđđejupmi	1. rådighetsbeføyelse;  
báhcánráđđejupmi	1. restbeføyelse;  
eaiggátráđđejupmi	1. eierrådighet;  
eanaeaiggátráđđejupmi	1. grunneierbeføyelse;  
oidojupmi	1. popularitet;  
čovdojupmi	1. løsning;  
čoggojupmi	1. akkumulering;  
diŋgojupmi	1. ordre, bestilling;  
ihtalupmi	1. utslett;  
ruhtasupmi	1. beløp;  
lihkostupmi	1. suksess;  
njeaššegávdnostupmi	1. våtmarkforekomst;  
biepmusnuppástupmi	1. stoffskifte;  
duššástupmi	1. frustrasjon;  
gávdnoštupmi	1. forekomst;  
dolomihttagávdnoštupmi	1. dolomittforekomst;  
ruhtaberoštupmi	1. kapitalinteresse;  
servodatberoštupmi	1. samfunnsinteresse;  
gilvobotnjašupmi	1. konkurransevridning;  
mearkkašupmi	1. merknad;  
beavdegirjemearkkašupmi	1. protokollmerknad;  
gahččanlápmašupmi	1. fallskade;  
fuomášupmi	1. ide;  
U-hápmi	1. hesteskoform;  
raportahápmi	1. rapportform;  
breavahápmi	1. brevoppstilling;  
iežaskapitálhápmi	1. egenkapitalform;  
albmananhápmi	1. fremtredelsesform;  
allegrohápmi	1. allegroform;  
beallevearrosápmi	1. halvskattelapp;  
ollesvearrosápmi	1. helskattelapp;  
geađgereašmi	1. nertelne;  
badjereašmi	1. overtelne;  
vuollereašmi	1. tau i nerkanten av garn eller not;  
gávvalreašmi	1. kavveltelne;  
romani	1. romani;  
biebmoeadni	1. pleiemor, fostermor;  
gaskaseaidni	1. skillevegg;  
buollinseaidni	1. brannvegg;  
olgoseaidni	1. yttervegg;  
ráidalasseaidni	1. ribbevegg;  
sisseaidni	1. innervegg;  
goivvohatseaidni	1. grøftevegg;  
bieidni	1. bunnfjøl;  
filbmaliidni	1. filmlerret;  
beavdeliidni	1. duk;  
njálbmeliidni	1. serviett;  
bummolliidni	1. bomullstøy;  
šliipenliidni	1. slipelerret;  
borjjasliidni	1. seilduk;  
rihppaviidni	1. nadverdsvin;  
girkoviidni	1. kirkevin;  
vilgesviidni	1. hvitvin;  
ruksesviidni	1. rødvin;  
bohccesuoidni	1. gressart;  
dáidni	1. lapp, bot;  
siŋkadáidni	1. tettemateriale av sink;  
fiellodáidni	1. tettestykke av tre;  
jogabodni	1. elvebunn;  
mearrabodni	1. sjøbotn;  
jávrebodni	1. innsjøbunn;  
gárggobodni	1. stenet bunn;  
goivvohatbodni	1. grøftebunn;  
bierdni	1. bjørneunge;  
obbagordni	1. helkorn;  
šliipengordni	1. slipekorn;  
biebmobárdni	1. pleiesønn;  
gárdni	1. fortøm;  
álggahansárdni	1. åpningstale;  
álginsárdni	1. tiltredelsestale;  
doallosárdni	1. festtale;  
vuosttassárdni	1. jomfrutale;  
ludni	1. vals;  
lievlagievdni	1. dampkjele;  
gáfegievdni	1. kaffekjele;  
čáhceliggengievdni	1. varmtvannskjel;  
rievdni	1. gryn;  
semuljarievdni	1. semuljegryn;  
risenrievdni	1. risengryn;  
ságurievdni	1. sagogryn;  
čuovgaivdni	1. lysfarge;  
gaskaivdni	1. midtfarge;  
volumaivdni	1. volumfarge;  
áhtaivdni	1. egenfarge;  
čáhceivdni	1. vannfarge;  
suodjeivdni	1. kamuflasjefarge;  
konditorivdni	1. konditorfarge;  
dulbodativdni	1. flatefarge;  
ivdnádativdni	1. kulørte farge;  
duogášivdni	1. bakgrunnsfarge;  
geađgeduvdni	1. berghald;  
stávdni	1. stavn;  
ovdastávdni	1. forstavn;  
maŋŋestávdni	1. akterstavn, bakstavn;  
ovdamanni	1. forgjenger;  
riekteovdamanni	1. rettsforgjenger;  
ovddasmanni	1. pionér;  
cirgganjunni	1. spylespiss;  
mielganjunni	1. bringkoll;  
njuollanjunni	1. pilspiss;  
beannanjunni	1. pennespiss;  
niibenjunni	1. knivspiss;  
áibmenjunni	1. imespiss;  
mihtidannjunni	1. målespiss;  
bossunnjunni	1. blåsespiss;  
ovdamunni	1. fordel;  2. privilegium;  
gávpeovdamunni	1. handelsprivilegium;  
vearuhisovdamunni	1. beskatningsprivilegium;  
gávpotovdamunni	1. byprivilegium;  
saháovdamunni	1. sagbruksprivilegium;  
sihkkarvuođamunni	1. sikkerhetsmargin;  
deaddemunni	1. pressmonn;  
rievddadanmunni	1. fleksibilitet;  
buvttadanmunni	1. produktivitet;  
heivehanmunni	1. fleksibel;  
válljenmunni	1. utvalg;  
bargomunni	1. arbeidsmonn;  
stuorradoallomunni	1. stordriftsfordel;  
fylkkamánni	1. fylkesmann;  
nammamánni	1. namsmann;  
ámtamánni	1. amtmann;  
váldoámtamánni	1. stiftamtmann;  
bearremánni	1. namsmann;  
heavsmánni	1. høvedsmann;  
jugahandatni	1. loddetinn;  
geatni	1. sammenføyning mellom garn;  
mieđašeatni	1. bidronning;  
čiehkabátni	1. hjørnetann;  
máttabátni	1. jeksel;  
badjebátni	1. overtann;  
vuollebátni	1. nertann;  
gelendarbátni	1. gelenderspross;  
čoavddasátni	1. nøkkelord, stikkord;  
kodasátni	1. kodeord;  
ovdasátni	1. forord;  
šládjasátni	1. typeord;  
doarjjasátni	1. støtteord;  
initiálasátni	1. initialord;  
loatnasátni	1. låneord;  
laktasátni	1. sammensetningsord;  
sáttasátni	1. sendingsord;  
garvvasátni	1. omskrivning;  
ođđasátni	1. nyord;  
niibesátni	1. merkesnitt;  
árbesátni	1. kulturord;  
ipmilsátni	1. gudsord;  
ohcansátni	1. søkeord;  
ásahansátni	1. innvielsesord;  
muittuhansátni	1. stikkord;  
suopmansátni	1. dialektord;  
beassansátni	1. passord;  
gahčansátni	1. kalleord;  
gieldinsátni	1. nektingsord;  
álgosátni	1. forord;  
lohkosátni	1. tallord;  
vuorrolohkosátni	1. ordenstall;  
bilkosátni	1. hånord;  
vierrosátni	1. fremmedord;  
vuorrosátni	1. replikk;  
árvosátni	1. karakter;  
mearreáigeárvosátni	1. terminkarakter;  
oppalašárvosátni	1. standpunktkarakter;  
vuođđosátni	1. grunnord;  
ruohtassátni	1. rotord;  
čuorvvassátni	1. interjeksjon;  
vierissátni	1. fremmedord;  
lohkusátni	1. tallord;  
garrusátni	1. banneord;  
áibmovátni	1. oksygenmangel;  
gálvovátni	1. varemangel;  
niskegohpi	1. nakkegrop;  
doaibmalohpi	1. konsesjon, løyve;  
sierralohpi	1. dispensasjon;  
klostersierralohpi	1. klosterprivilegium;  
virgelohpi	1. permisjon;  
lohkanvirgelohpi	1. studiepermisjon;  
geavahanlohpi	1. brukstillatelse;  
lihttoláigohanlohpi	1. bortforpaktningsadgang;  
doaibmanlohpi	1. driftstillatelse;  
huksenlohpi	1. byggetillatelse;  
juohkinlohpi	1. delingstillatelse;  
luoitinlohpi	1. utslipptillatelse;  
oastinlohpi	1. kjøpeløyve;  
oaggunlohpi	1. fiskekort;  
bargolohpi	1. arbeidstillatelse;  
eretvuojáhatlohpi	1. avkjørselstillatelse;  
rehketdoallodáhpi	1. regnskapsskikk;  
juolgeláhpi	1. fotblad;  
buggenáhpi	1. utsprengt navle;  
gáipi	1. valbein;  
bahtaculpi	1. gump;  
juvlaleahppi	1. skvettlapp;  
bellečeahppi	1. blikkenslager;  
guosseoahppi	1. hospitant;  
vuodjinoahppi	1. kjøreelev;  
fidnooahppi	1. lærling;  
vuoktačuohppi	1. frisør;  
garpi	1. ubehersket;  
fárpi	1. notvarp;  
luossavárpi	1. laksevarp;  
stuorragávpi	1. engroshandel;  2. supermarked;  
smávvagávpi	1. detaljhandel;  
boazogávpi	1. reinhandel;  
oapmebierggasgávpi	1. brukthandel;  
adnonbierggasgávpi	1. brukthandel;  
lahpesgávpi	1. loppemarked;  
bearri	1. familiesykdom, arvelig sykdom;  
ákšodearri	1. økseegg;  
sahádearri	1. sagblad;  
badjerádjeearri	1. maksimalkvote;  
sohkabealearri	1. kjønnskvote;  
oanádusruhtamearri	1. avdragsbeløp;  
proseantamearri	1. prosentsats;  
áigemearri	1. tidsfrist;  
čájehanáigemearri	1. forevisningsfrist;  
dieđihanáigemearri	1. påmeldingsfrist;  
evttohanáigemearri	1. forslagfrist;  
váidalanáigemearri	1. klagefrist;  
gáhtanáigemearri	1. angrefrist;  
boarásmuvvanáigemearri	1. foreldesfrist;  
boarásnuvvanáigemearri	1. foreldesfrist;  
eretcealkináigemearri	1. oppsigelsesfrist;  
máksináigemearri	1. forfallsdag;  
boarásmuvvannáigemearri	1. foreldelsesfrist;  
gohččunáigemearri	1. innkallingsfrist;  
badjerádjemearri	1. maksimaltakst;  
geavahanmearri	1. utnyttingsgrad;  
lohkanmearri	1. pensum;  
ávkkástallanmearri	1. utnyttelsesgrad;  
vuolidahttinmearri	1. avskrivningsbeløp;  
vuolimusrádjomearri	1. minimum lagerkvantum;  
vearromearri	1. skattesats;  
vuoládusmáksomearri	1. fradragssatsen;  
dihtomearri	1. viss mengde;  
mihttomearri	1. målsetting;  
váikkuhusmearri	1. virkningsgrad;  
unnimusmearri	1. minimum;  
johtolatmearri	1. trafikkmengde;  
bivdoearri	1. jaktkvote;  
ollesearri	1. totalkvote;  
jarri	1. seneknute;  
boarri	1. båt;  
dierri	1. rusk;  
bibbadirri	1. heilo;  
skirri	1. varsler;  
gorri	1. proporsjon;  2. relasjon;  
smilčegorri	1. stigningsforhold;  
guhkidangorri	1. lengdeutvidingskoeffisient;  
seaguhusgorri	1. blandingsforhold;  
jorri	1. turbulens;  
bieggajorri	1. vindmølle;  
duolbmanjorri	1. varesykkel;  
vealgebuorri	1. utestående fordring;  
luonddubuorri	1. naturgode;  
hurri	1. orrfugl;  
ekspanšuvdnagárri	1. ekspansjonskar;  
basadangárri	1. vaskeservant;  
lávggodangárri	1. badekar;  
lihttebassangárri	1. oppvaskkum;  
lávgungárri	1. badekar;  
lágergárri	1. lagerskål;  
ávsgárri	1. øsekar;  
borramušgárri	1. matskål;  
kárri	1. karri;  
dollavárri	1. vulkan;  
jiekŋavárri	1. isfjell;  
hearbevárri	1. reserve;  
veahkkevárri	1. ressurs;  
jorregeavri	1. trinse;  
guollebuvri	1. fiskebu;  
čoavjesuvri	1. magesyre;  
sáhppesuvri	1. gallesyre;  
duottarjávri	1. vann på vidda, innsjø på vidda;  
áhkilveaksi	1. brystfinne;  
urbeoaksi	1. brom;  
taksi	1. taxi;  
lieksi	1. tran;  
vieksi	1. kvitunge;  
šlápmagiksi	1. støyplage;  
sovsaguksi	1. sauseøse;  
guolleguksi	1. fiskeøse;  
áksi	1. del av reinskallen - mellom og omkring hornene;  
vearromáksi	1. skattebetaler;  
gusagoalsi	1. laksand;  
smávvagoalsi	1. siland;  
gárggogoalsi	1. lappfiskand;  
gearsi	1. flens;  
girsi	1. tele;  
luoddaassi	1. vegbane;  
eanaassi	1. jordbunn;  
čievraassi	1. grusoverflate;  
asfáltaassi	1. asfaltdekke;  
lágerbeassi	1. lagerhus;  
oaiveassi	1. hårbunn;  
šliiveassi	1. slimhinne;  
vuordinlassi	1. ventetillegg;  
biebmolassi	1. matauk;  
johkaoassi	1. elvestrekning;  
cuovkaoassi	1. brøkdel;  
čorbmaoassi	1. neveområde av hånda;  
nammaoassi	1. tittelfelt;  
eanaoassi	1. parsell;  
kuvøsaoassi	1. kuvøseavsnitt;  
govvaoassi	1. bildefelt;  
árbeoassi	1. arvelodd;  
bohcceoassi	1. rørarmatur;  
gáddeoassi	1. landlott;  
lasseoassi	1. tilleggsdel;  
visteoassi	1. bygningsdel;  
bargoaddioassi	1. arbeidsgiverandel;  
guollebivdioassi	1. mannslott;  
márkanoassi	1. markedsandel;  
riektegáldooassi	1. rettskildefaktor;  
fuođđaroassi	1. forenhet;  
mohtoroassi	1. motordel;  
gonagasoassi	1. konungsbalk;  
olggosoassi	1. ut-enhet;  
impedimentoassi	1. impedimentandel;  
eaiggátoassi	1. eierandel;  
guovlluoassi	1. distriktsbidrag;  
vuoiddasassi	1. smørefilm;  
muovjamiessi	1. reinkalv i det første hårskiftet;  
geažotbealjmiessi	1. umerket reinkalv;  
bohccomiessi	1. reinkalv;  
siessi	1. rorrom;  
ovdasiessi	1. framrom i båt;  
gaskasiessi	1. midtre rom i båten;  
maŋŋesiessi	1. akterrom;  
soahkerissi	1. bjørkeris;  
buođđorissi	1. bjørketrær;  
gudneguossi	1. æresgjest;  
ođđaássi	1. bureiser, rydningsmann;  
riskadássi	1. risikoklasse;  
prográmmadássi	1. programnivå;  
eanadássi	1. gårdsplan;  2. terrengnivå;  
jietnadássi	1. lydnivå;  
vuollerádjedássi	1. minimumsstandard;  
luohkkáceahkkedássi	1. klassetrinnsnivå;  
árvosátnedássi	1. karakternivå;  
stuorragávpedássi	1. grossistledd;  
smávvagávpedássi	1. detaljistledd;  
birgendássi	1. levestandard;  
čohkkendássi	1. samlerstadium;  
eallindássi	1. levestandard;  
ráidodássi	1. divisjon;  
ceakkodássi	1. vertikalplan;  
láskkodássi	1. horisontalplan;  
áibmodássi	1. luftkvalitet;  
dássodássi	1. kvalitetsstandard;  
opmodatdássi	1. formuesstilling;  
luohkkádássi	1. klassenivå;  
lohppehatgássi	1. osteløype;  
biellorássi	1. blåklokke;  
uvllorássi	1. løvetann;  
biehtárrássi	1. ryllik, røllik;  
árvvohisrássi	1. ugress;  
áhpeheahti	1. havsnød;  
guollegoahti	1. fiskegamme;  
bierdnegoahti	1. bjørnehi;  
sátnegoahti	1. budstikke;  
bivdogoahti	1. fiskergamme;  
boazogoahti	1. telt;  
lohti	1. kile;  
goazanlohti	1. bremsekloss;  
luvvenlohti	1. borkile;  
asfáltabáhti	1. asfaltkokeri;  
bálsebáhti	1. leirgryte;  
biergobáhti	1. kjøttgryte;  
jáhti	1. garnlenke;  2. drivgarn;  
tabeallavuoiti	1. tabelltopp;  
buiti	1. roer;  
nuohttebuiti	1. roer ved notlegging;  
suolaskáiti	1. tyvjo;  
stuorraskáiti	1. storjo;  
biergoáiti	1. kjøttstabbur;  
finddársáiti	1. flyndrepik;  
riggááiti	1. uerhode;  
liidnaseakti	1. lineagn;  
lakti	1. skjøt;  
gielddariekti	1. herredsrett;  
luoddariekti	1. vegrett;  
láhkariekti	1. lagrette;  
allariekti	1. høyesterett;  
nammariekti	1. namsrett;  
allatvuođariekti	1. høyhetsrett;  
buohkaidriekti	1. allemannsrett;  
diggeriekti	1. tinglag;  2. tingrett;  
lágamánneriekti	1. lagmannsrett;  
aktogávperiekti	1. monopol;  
juogadanriekti	1. skifterett;  
geavahanriekti	1. bruksrett;  
guođohanriekti	1. beiterett;  
dutkanriekti	1. forhørsrett;  
stáhtaváidalanriekti	1. statsklagerett;  
ovttastallanriekti	1. samværsrett;  
oamastanriekti	1. hevdsrett;  
bajitárvvoštanriekti	1. overskjønnsrett;  
njuolggaeaiggáduššanriekti	1. overeiendomsrett;  
ráđđenriekti	1. rådighetsrett;  
gieldinriekti	1. vetorett;  
eanajuohkinriekti	1. jordskifterett;  
áššečuoččaldahttinriekti	1. påtalerett;  
bivdoriekti	1. jaktrett;  
mearabivdoriekti	1. sjøfiskerett, rett til sjøfiske;  
bargoriekti	1. arbeidsrett;  
vearroolbmoriekti	1. skattemannarett;  
aktoriekti	1. enerett;  
mielduopmárriekti	1. meddomsrett;  
ráŋggáštusriekti	1. strafferett;  
álbmotriekti	1. folkerett;  
gávpotriekti	1. byrett;  
romálašriekti	1. romarrett;  
vuosttašriekti	1. fortrinnsrett;  
vuođđobákti	1. grunnfjell;  
ađadákti	1. margbein;  
biežadákti	1. halebein;  
čielgedákti	1. ryggvirvel;  
goikedákti	1. mellomfot;  
guoledákti	1. fiskebein;  
ágildákti	1. ørebein;  
ákkildákti	1. skulderbein hos fisk, bein som danner feste for gjellene;  
bohccodákti	1. reinben;  
buddestatdákti	1. kneskjell;  
almmáigákti	1. herrekofte;  
jielti	1. blodblemme;  
goivvohatvielti	1. grøfteskråning;  
hálti	1. himmelretning;  2. kurs;  3. retning;  
rávdnjehálti	1. strømretning;  
luoddasálti	1. vegsalt;  
čoarvesálti	1. hornsalt;  
gurti	1. nakkestykke;  
oassálasti	1. deltaker;  
oasti	1. kunde;  
dáhkádusoasti	1. forsikringstaker;  
sihkkarasti	1. sikring;  
smirezasti	1. drøvtygger;  
láigolatnjavisti	1. hybelbygning;  
doaibmavisti	1. driftsbygning;  
muorravisti	1. trebygning;  
gilvvavisti	1. drivhus;  
nurkevisti	1. hjørnebygning;  
gávpevisti	1. forretningsbygg;  
olgovisti	1. uthus;  
bargovisti	1. arbeidsbygning;  
fidnovisti	1. yrkesbygning;  
álbmotvisti	1. publikumsbygning;  
ránnjávisti	1. nabobygg;  
návsti	1. naust;  
mearranásti	1. korstroll;  
bahtti	1. kalvende simle;  
skuovvaalidahtti	1. fotsåleforhøyning;  
hivssetalidahtti	1. toalettforhøyer;  
riegádahtti	1. fødende;  
gahtti	1. ringsel;  
dieđihangeatnegahtti	1. meldepliktig person;  
maŋisboahtti	1. ettermann;  
heahteorustahtti	1. nødstopp;  
niehtti	1. nøtt;  
eananiehtti	1. peanøtt;  
paraniehtti	1. paranøtt;  
hasselniehtti	1. hasselnøtt;  
dihtti	1. spurvehauk;  
sovsalihtti	1. sausekopp;  
njalbelihtti	1. væskebeholder;  
čáhcelihtti	1. vannkar;  
lieggačáhcelihtti	1. varmtvannsbeholder;  
guollelihtti	1. fisketønne;  
bálselihtti	1. leirbolle;  
sáltelihtti	1. saltkar;  
jienastanlihtti	1. valgurne;  
vuoššanlihtti	1. kokekjele;  
sohkarlihtti	1. sukkerskål;  
doapparlihtti	1. søppeldunk;  
bohtti	1. hevelse;  
reahkanuohtti	1. reketrål;  
suohkanuohtti	1. synkenot;  
seahkkanuohtti	1. posenot;  
sohkkanuohtti	1. søkkenot;  
sivlanuohtti	1. silnot;  
snoranuohtti	1. snurrevad;  
luossanuohtti	1. laksenot;  
gáddenuohtti	1. landnot;  
bodnenuohtti	1. bunnslepenot;  
searvenuohtti	1. fellesnot;  
bumbolnuohtti	1. bomullsnot;  
bálkestannuohtti	1. kastenot;  
nylonnuohtti	1. nylonnot;  
sáidesoaikonuohtti	1. snurpenot;  
feastonuohtti	1. trål;  
reabbáfeastonuohtti	1. krepsetrål;  
gáidánuohtti	1. kilenot;  
márkanguvlui	1. markedsorientert;  
čielggadanbeaivi	1. oppgjørsdag;  
čoahkkinbeaivi	1. møtedato;  
máksinbeaivi	1. forfall;  
našunbeaivi	1. nasjonaldag;  
cihppaoaivi	1. penishode;  
máisaoaivi	1. maiskolbe;  
guoleoaivi	1. fiskehode;  
gohpeoaivi	1. forsenka hode;  
galljudanoaivi	1. utboringshode;  
boaganoaivi	1. beltespenne;  
juohkinoaivi	1. delehode;  
boallooaivi	1. ballblom;  
biipooaivi	1. pipehode;  
šliivi	1. tarmgrønske;  
kivi	1. kiwi;  
hormonmoivi	1. hormonforstyrrelse;  
álvi	1. smiesse;  
fágasearvi	1. fagforening;  
oahpaheddjiidsearvi	1. lærerlag;  
smávvadáluidsearvi	1. småbrukerlag;  
virgeolbmuidsearvi	1. tjenestemannsorganisasjon;  
ásodathuksensearvi	1. boligbyggelag;  
gávpejassearvi	1. kjøpmannskompani;  
dáhkádussearvi	1. forsikringsselskap;  
oasussearvi	1. andelslag, aksjeselskap;  
ásodatsearvi	1. borettslag;  
suorggádatsearvi	1. bransjeorganisasjon;  
boazodoarvi	1. kjøttmengde;  
biikačoarvi	1. reinhorn;  
báđačoarvi	1. rein med brunaktig horn;  
bierfečoarvi	1. rein med svært grenete horn;  
bárvi	1. kvinnekofte;  
dealleavvi	1. scooterbelte, skuterbelte;  
guolleavvi	1. fiskerenne;  
skovvi	1. blankett, formular;  
rytmaskovvi	1. rytmeskjema;  
gáhtanáigeskovvi	1. angrefristskjema;  
dieđihanskovvi	1. påmeldingsskjema;  
gažaldatskovvi	1. spørreskjema;  
dávgerovvi	1. fjærskive;  
bađvi	1. belg;  
dáđvi	1. milt;  
šleanzi	1. skråp;  
boazzi	1. grad;  
vuosttasláhkaalmmái	1. førstelagsmann;  
láhkariektealmmái	1. lagrettemann;  
veahkkeráđđealmmái	1. assisterende rådmann;  
bissoalmmái	1. skytter;  
iešalmmái	1. selvstendig mann;  
vuoigatvuođaolmmái	1. rettighetsmann;  
fanasbealolmmái	1. båtsmann;  
gulahallanolmmái	1. hjemmelsmann;  
fanasjargŋi	1. bredeste sted på båt;  
luoddageahči	1. blindveg;  
beavdegeahči	1. bordende;  
čoallegeahči	1. gattåpning;  
olgorohpegeahči	1. takoverdekning;  
buođđogeahči	1. enden av et laksestengsel;  
ravdačiekči	1. kantspiller;  
njunušravdačiekči	1. kantspiss;  
maŋŋečiekči	1. forsvarer;  
luovosčiekči	1. sweeper;  
maŋŋeguovddáščiekči	1. midtforsvarer;  
suovvabuokči	1. røykdykker;  
bákŋi	1. tykkeste del av reinhornet;  
vuolši	1. infeksjon;  
stánči	1. slam;  
loddejievži	1. måltrost;  
reašši	1. utleire;  
mađđi	1. avgrenset fiskeplass;  
hávgamađđi	1. uerklakk;  
bargonoađđi	1. arbeidsbyrde;  
vuođđonoađđi	1. grunnbyrde;  
ruovderaŧŧi	1. jernbane;  
geahčči	1. publikum;  
badjeliigeahčči	1. tilsynsmann;  
bearráigeahčči	1. oppsynsmann;  
boazodoallobearráigeahčči	1. reindriftsinspektør;  
bajimusbearráigeahčči	1. overoppsynsmann;  
guolástusbearráigeahčči	1. fiskeriinspektør;  
boazogeahčči	1. reinvokter;  
bealljegáhčči	1. ørevoks;  
biebmoáhčči	1. pleiefar;  
mođđi	1. slam;  
áŋgirušši	1. forkjemper;  
váiddaášši	1. klagesak;  
eananregisttarbláđđi	1. grunnboksblad;  
árvvoštallanášši	1. skjønnssak;  
ráŋggáštanášši	1. straffesak;  
hálddašanášši	1. forvaltningssak;  
eananoastinášši	1. grunnervervelsessak;  
boazoášši	1. sak;  
riikkaráđđi	1. riksråd;  
giellaráđđi	1. språkråd;  
stáhtaráđđi	1. statsråd;  
departemeantaráđđi	1. departementsråd;  
vearroduottarášši	1. skattefjellsmål;  
ohppiidráđđi	1. elevråd;  
muddenráđđi	1. reguleringsråd;  
váhnenráđđi	1. foreldreråd;  
soabahusráđđi	1. forliksråd;  
stáđđi	1. ambolt;  
tallearkahiŋggal	1. tallerkenskjerm;  
uksaspeajal	1. dørspeil;  
sisspeajal	1. innespeil;  
guolleátnjal	1. fisketrang, fiskesult;  
biergoátnjal	1. kjøttrang, kjøttsult;  
fenihkal	1. fennikel;  
artihkal	1. artikkel;  
partihkal	1. partikkel;  
vearromatrihkkal	1. skattematrikkel;  
táhkkal	1. talje;  
doappal	1. flytholt;  2. flå;  
duoppal	1. ile;  
goahcanfárppal	1. bremsetrommel;  
mihtidanfárppal	1. måletrommel;  
skohtal	1. lysterjern;  
cahkkehanginttal	1. tennplugg;  
snárttal	1. brunnakke;  
lohtegurraheavval	1. kilsporhøvel;  
vuostáheavval	1. ostehøvel;  
bievval	1. bøddel;  
gávval	1. glasskavvel;  
leaibegávval	1. orkavl;  
gaskkasgávval	1. einerkavl;  
kávval	1. glasskavl;  
lávletávval	1. flanellograf;  
dieđihantávval	1. orienteringstavle;  
almmuhantávval	1. oppslagstavle;  
oahpistantávval	1. vegvisertavle;  
diehtojuohkintávval	1. informasjonstavle, oppslagstavle;  
vuodjinjuohkotávval	1. kjørefelttavle;  
bábirtávval	1. flippover;  
biŋal	1. furutyri;  
